ℹ Using CPU

================================== Results ==================================

TOK      99.93
TAG      85.67
POS      87.16
MORPH    85.85
LEMMA    61.33
UAS      70.44
LAS      54.66
SENT P   75.44
SENT R   85.15
SENT F   80.00
SPEED    12987


============================== MORPH (per feat) ==============================

                P       R       F
Number      87.99   87.99   87.99
Polite      92.84   92.84   92.84
PronType    89.06   86.36   87.69
Mood        90.16   81.69   85.71
Voice       87.69   80.28   83.82
Definite    83.33   69.44   75.76
NumType     82.35   93.33   87.50
Foreign     50.00   22.22   30.77
Person      84.21   87.27   85.71
Polarity   100.00   95.24   97.56
Reflex       0.00    0.00    0.00
Abbr       100.00   66.67   80.00


=============================== LAS (per type) ===============================

                   P        R        F
nsubj          62.12    63.08    62.60
nmod           42.11    43.84    42.95
det            62.22    65.12    63.64
root           55.65    63.37    59.26
obl            47.30    44.30    45.75
conj           38.46    39.47    38.96
cc             85.19    88.46    86.79
case           81.36    97.96    88.89
xcomp          29.17    33.33    31.11
nummod         61.54    61.54    61.54
cop            50.00   100.00    66.67
mark           66.67    57.14    61.54
advcl          28.77    26.92    27.81
obj            61.36    50.94    55.67
advmod         60.00    67.29    63.44
nsubj:outer     0.00     0.00     0.00
acl:relcl      52.38    57.89    55.00
acl            14.29     9.09    11.11
parataxis      28.57    20.00    23.53
csubj           0.00     0.00     0.00
aux            82.93    80.95    81.93
amod           50.00    65.22    56.60
flat:name      81.08    93.75    86.96
nsubj:pass     30.00    60.00    40.00
ccomp           0.00     0.00     0.00
dep             0.00     0.00     0.00
obl:tmod       14.29    10.00    11.76
advmod:emph     0.00     0.00     0.00
flat          100.00   100.00   100.00
appos          33.33    50.00    40.00
discourse       0.00     0.00     0.00
clf             0.00     0.00     0.00
vocative        0.00     0.00     0.00
obl:agent       0.00     0.00     0.00
nmod:poss      62.50    45.45    52.63
nmod:lmod       0.00     0.00     0.00

✔ Saved results to metrics/UD_Javanese-CSUI-V1.json
