ℹ Saving to output directory: training/UD_Javanese-CSUI
ℹ Using CPU

=========================== Initializing pipeline ===========================
✔ Initialized pipeline

============================= Training pipeline =============================
ℹ Pipeline: ['tok2vec', 'tagger', 'morphologizer', 'parser',
'trainable_lemmatizer']
ℹ Initial learn rate: 0.001
E    #       LOSS TOK2VEC  LOSS TAGGER  LOSS MORPH...  LOSS PARSER  LOSS TRAIN...  TAG_ACC  POS_ACC  MORPH_ACC  DEP_UAS  DEP_LAS  SENTS_F  LEMMA_ACC  SCORE 
---  ------  ------------  -----------  -------------  -----------  -------------  -------  -------  ---------  -------  -------  -------  ---------  ------
  0       0          0.00       156.10         158.99       175.91         159.78    25.82    27.56      25.08    11.68    10.20     0.00      18.54    0.20
  2     200       3262.21     13533.73       15744.20     23782.20       17406.51    80.21    81.31      77.40    65.70    48.15    82.18      44.11    0.67
  5     400       4945.21      4115.80        6553.69     16661.03        6294.01    84.03    84.57      81.56    70.16    52.72    85.17      54.28    0.73
  7     600       4498.11      1866.27        3241.26     12629.94        1654.90    85.27    85.99      83.43    72.46    55.78    86.70      54.41    0.74
 10     800       4436.11      1155.56        1818.63     10092.60         662.38    85.31    86.89      85.11    72.22    55.90    82.86      54.83    0.75
 12    1000       4524.73       818.65        1119.59      8651.47         392.04    86.09    86.02      84.31    70.01    54.21    86.96      55.38    0.74
 15    1200       4728.36       640.24         819.79      8001.89         310.77    86.00    86.97      85.38    72.39    55.48    93.00      55.51    0.75
 19    1400       4797.29       602.73         740.81      7346.94         235.06    85.08    86.43      84.67    71.72    55.37    90.20      55.41    0.75
 24    1600       5196.48       485.99         621.12      7459.67         232.82    85.47    86.52      85.66    72.30    56.61    87.25      55.92    0.75
 30    1800       5376.18       422.31         498.08      7567.89         241.67    85.37    86.18      85.15    71.02    54.82    86.83      56.02    0.75
 38    2000       5420.35       388.22         424.38      8095.80         175.75    86.14    86.71      85.23    72.31    57.87    80.77      55.92    0.76
 47    2200       5266.95       336.92         352.68      8921.81         160.96    85.80    87.23      86.28    70.67    55.78    82.93      55.82    0.75
 59    2400       5192.27       347.10         321.15     10045.44         162.95    86.27    87.58      86.58    72.97    56.78    87.80      55.89    0.76
 74    2600       5238.09       301.68         307.88     11250.61         140.15    86.07    86.79      85.88    71.95    56.56    81.16      55.92    0.75
 90    2800       5000.60       227.33         255.41     11400.49         130.03    85.76    86.79      85.95    71.18    56.25    84.06      55.82    0.75
105    3000       4823.69       238.88         242.70     11337.16         127.12    86.16    86.27      85.62    72.51    58.44    94.47      55.92    0.76
120    3200       5224.30       208.24         215.39     11295.83         136.17    86.05    86.38      86.02    73.20    58.62    86.41      55.92    0.76
136    3400       4611.43       215.57         231.59     11172.79          77.90    85.88    86.41      86.39    75.50    60.24    86.41      56.02    0.77
151    3600       4556.38       205.92         195.75     10983.75          95.95    85.66    86.27      85.95    73.22    58.90    89.22      55.53    0.76
167    3800       4426.47       172.22         150.21     10971.85          73.30    86.14    87.05      86.06    73.15    58.47    84.47      56.21    0.76
182    4000       4808.35       160.94         157.04     10735.36          76.80    86.31    86.27      85.56    70.33    56.64    91.09      56.11    0.75
197    4200       5069.25       148.43         168.95     10865.56          85.98    86.56    86.75      85.67    72.59    58.24    89.66      56.11    0.76
213    4400       4944.39       139.19         141.43     10682.92          89.19    86.81    87.12      85.70    74.08    59.80    90.10      55.82    0.76
228    4600       4847.69       137.73         161.94     10449.81          67.15    86.72    86.76      86.16    72.95    58.79    81.16      56.11    0.76
243    4800       5187.08       137.95         133.40     10701.71          75.02    86.61    86.65      86.24    73.13    58.34    89.32      56.11    0.76
259    5000       4348.59       133.41         140.39     10471.37          63.64    86.38    87.10      85.92    73.29    58.29    87.13      55.92    0.76
✔ Saved pipeline to output directory
